x	y	key	showSelected1
1	50.6635215571923	1	1
2	46.4140112567012	2	2
3	47.9106697321696	3	3
4	48.431696897548	4	4
5	48.2046448393892	5	5
6	49.0125185838042	6	6
7	48.6007380693478	7	7
8	48.2711086363268	8	8
9	48.1532530610563	9	9
10	48.4367956451722	10	10
11	48.1727881680166	11	11
12	48.0562664533147	12	12
13	48.321043545742	13	13
14	48.3198422596065	14	14
15	48.4002072260663	15	15
16	48.4609887025044	16	16
17	48.5646766027421	17	17
18	48.4653468344122	18	18
19	48.5919144898699	19	19
20	48.6205020960664	20	20
21	48.4661984824881	21	21
22	48.4883715853038	22	22
23	48.5975740733816	23	23
24	48.6453178807819	24	24
25	48.6457204032959	25	25
26	48.8267399908807	26	26
27	48.7771973724057	27	27
28	48.7584043014984	28	28
29	48.7743757993069	29	29
30	48.6948581583476	30	30
31	48.7282945159799	31	31
32	48.6922756653186	32	32
33	48.6501391872154	33	33
34	48.6154062231585	34	34
35	48.5175163438607	35	35
36	48.4616416657586	36	36
37	48.492634999901	37	37
38	48.4972699587264	38	38
39	48.5344669060287	39	39
40	48.5290990520744	40	40
